time_x,LW_u,LW_d
77069.4166666667,487.3593,343.385
77069.4375,497.6245,349.0527
77069.4583333333,511.8553,354.0506
77069.4791666667,520.9468,359.621
77069.5,526.397,362.8755
77069.5208333333,534.5408,362.8669
77069.5416666667,537.4182,364.3552
77069.5625,542.8008,365.621
77069.5833333333,542.2486,367.6902
77069.6041666667,521.4357,368.9283
77069.625,519.6974,367.5126
77069.6458333333,499.4687,365.6142
77069.6666666667,511.6553,367.6747
77069.6875,512.7655,366.8571
77069.7083333333,501.8174,364.9726
77069.7291666667,494.292,364.4338
77069.75,479.9146,362.473
77069.7708333333,468.8859,360.1826
77069.7916666667,452.0052,358.4756
77069.8125,433.0291,354.5035
77069.8333333333,423.1384,347.6202
77069.8541666667,413.1621,345.715
77069.875,410.7049,345.3414
77069.8958333333,401.5986,341.4649
77069.9166666667,393.4138,340.8195
77069.9375,393.1242,338.0753
77069.9583333333,398.6729,342.3577
77069.9791666667,395.4781,340.1517
77070,392.8346,340.2897
77070.0208333333,396.9995,344.0883
77070.0416666667,397.2164,344.8805
77070.0625,395.8729,338.2934
77070.0833333333,393.1067,335.2563
77070.1041666667,392.4528,340.0331
77070.125,391.8891,334.9158
77070.1458333333,387.9349,315.6314
77070.1666666667,382.5891,309.3887
77070.1875,381.7509,308.5372
77070.2083333333,381.0304,308.6322
77070.2291666667,380.1534,306.8662
77070.25,383.3941,308.034
77070.2708333333,393.6962,312.3621
77070.2916666667,403.7104,322.6654
77070.3125,410.9635,338.3517
77070.3333333333,414.9108,347.0766
77070.3541666667,419.4587,342.8711
77070.375,452.9534,356.5546
77070.3958333333,447.8469,352.5428
77070.4166666667,464.4781,340.1967
77070.4375,486.4379,337.4592
77070.4583333333,486.8559,343.5568
77070.4791666667,505.6848,342.5632
77070.5,523.1599,346.0405
77070.5208333333,526.5505,350.3152
77070.5416666667,523.4726,349.2746
77070.5625,525.2403,344.9274
77070.5833333333,527.2979,347.3733
77070.6041666667,516.0884,355.3865
77070.625,502.6644,357.0097
77070.6458333333,506.545,350.6989
77070.6666666667,499.0222,350.5912
77070.6875,487.6975,353.1593
77070.7083333333,471.5218,350.001
77070.7291666667,457.9319,350.2941
77070.75,456.0166,352.4812
77070.7708333333,444.663,345.6636
77070.7916666667,432.1317,341.3653
77070.8125,420.6947,336.9759
77070.8333333333,410.8381,331.7936
77070.8541666667,407.2931,328.7327
77070.875,403.7497,325.5031
77070.8958333333,402.2299,324.5485
77070.9166666667,401.6162,324.4514
77070.9375,401.7733,324.3144
77070.9583333333,401.2205,322.7783
77070.9791666667,398.296,320.822
77071,393.5735,319.051
77071.0208333333,383.5414,317.2011
77071.0416666667,382.1929,317.1237
77071.0625,377.0862,316.0749
77071.0833333333,376.2102,314.7771
77071.1041666667,379.0999,314.4051
77071.125,373.9605,314.3862
77071.1458333333,375.9808,314.9984
77071.1666666667,370.3632,315.3112
77071.1875,372.0955,316.0999
77071.2083333333,372.1498,315.4994
77071.2291666667,368.55,314.9164
77071.25,378.0727,315.2747
77071.2708333333,395.3987,318.5533
77071.2916666667,411.0852,323.3353
77071.3125,430.2198,328.3266
77071.3333333333,450.8644,335.2321
77071.3541666667,469.4318,342.4136
77071.375,482.458,348.7761
77071.3958333333,496.0093,352.1222
77071.4166666667,507.6748,356.0195
77071.4375,518.171,360.3744
77071.4583333333,528.926,364.559
77071.4791666667,539.1439,369.227
77071.5,545.3887,371.3895
77071.5208333333,553.6005,377.4392
77071.5416666667,556.2592,380.9192
77071.5625,558.4681,384.2481
77071.5833333333,558.1903,384.4292
77071.6041666667,556.3104,384.2718
77071.625,533.0839,386.2244
77071.6458333333,542.5745,387.0546
77071.6666666667,539.4946,390.0378
77071.6875,521.8965,386.0637
77071.7083333333,518.2761,387.4716
77071.7291666667,506.5583,385.1672
77071.75,499.3004,391.2641
77071.7708333333,481.6998,390.1172
77071.7916666667,466.2297,382.1385
77071.8125,446.1468,377.4302
77071.8333333333,426.9961,373.9816
77071.8541666667,418.3747,369.0878
77071.875,414.0044,366.2948
77071.8958333333,407.8057,362.1993
77071.9166666667,403.3226,358.3181
77071.9375,400.575,356.627
77071.9583333333,397.988,356.9781
77071.9791666667,397.6969,356.2658
77072,396.7686,356.6776
77072.0208333333,407.6685,360.3314
77072.0416666667,416.1392,363.0113
77072.0625,413.7622,356.8727
77072.0833333333,411.1408,355.9348
77072.1041666667,411.1859,358.8017
77072.125,413.4998,358.8351
77072.1458333333,409.5499,355.0549
77072.1666666667,408.7269,354.8228
77072.1875,410.4443,355.5751
77072.2083333333,414.3283,361.5556
77072.2291666667,415.0976,361.7831
77072.25,420.4836,364.0837
77072.2708333333,426.2047,365.4852
77072.2916666667,431.3029,363.6251
77072.3125,439.4044,369.2374
77072.3333333333,448.3966,370.7292
77072.3541666667,459.2024,374.4801
77072.375,466.0231,378.5923
77072.3958333333,472.2589,380.2483
77072.4166666667,493.0443,381.4208
77072.4375,490.4958,387.5616
77072.4583333333,493.5078,387.6005
77072.4791666667,503.372,389.521
77072.5,501.562,394.3857
77072.5208333333,519.3503,395.3978
77072.5416666667,510.4335,399.3483
77072.5625,510.9267,401.1985
77072.5833333333,530.5732,403.2892
77072.6041666667,542.8734,405.3859
77072.625,529.7768,407.8015
77072.6458333333,533.0826,409.583
77072.6666666667,531.3514,408.0308
77072.6875,517.9841,413.8915
77072.7083333333,509.5833,408.5902
77072.7291666667,494.7892,418.2237
77072.75,487.4648,412.1638
77072.7708333333,476.5579,407.4716
77072.7916666667,469.614,409.0452
77072.8125,462.5408,406.0425
77072.8333333333,449.9087,399.8889
77072.8541666667,440.6157,389.6365
77072.875,429.681,373.8137
77072.8958333333,419.9924,365.993
77072.9166666667,415.0807,363.786
77072.9375,412.8719,364.8945
77072.9583333333,413.2244,360.054
77072.9791666667,414.2758,355.839
77073,415.6407,350.7491
77073.0208333333,414.3297,352.0936
77073.0416666667,410.8553,352.0311
77073.0625,407.7277,352.6831
77073.0833333333,407.1077,351.5675
77073.1041666667,411.623,352.3207
77073.125,413.8358,354.3618
77073.1458333333,415.4921,354.7328
77073.1666666667,413.269,353.6789
77073.1875,413.158,354.6802
77073.2083333333,412.8586,355.8959
77073.2291666667,414.6765,357.1256
77073.25,419.8372,358.6561
77073.2708333333,429.9431,361.2488
77073.2916666667,441.1942,364.7789
77073.3125,453.8983,370.5457
77073.3333333333,464.2331,385.5714
77073.3541666667,469.61,404.7227
77073.375,477.0537,396.5717
77073.3958333333,497.825,385.5055
77073.4166666667,511.1296,390.1587
77073.4375,522.6917,394.5678
77073.4583333333,531.0313,401.3243
77073.4791666667,544.6777,413.0504
77073.5,540.7336,419.6162
77073.5208333333,566.7334,419.7387
77073.5416666667,565.618,421.4668
77073.5625,561.9632,423.8068
77073.5833333333,569.0023,423.7327
77073.6041666667,561.7148,424.2324
77073.625,533.9051,427.4918
77073.6458333333,541.1246,423.5766
77073.6666666667,530.3702,421.1838
77073.6875,505.3116,424.3294
77073.7083333333,526.658,416.3893
77073.7291666667,510.6758,410.9976
77073.75,505.6878,413.1048
77073.7708333333,492.6375,412.1971
77073.7916666667,478.7484,406.663
77073.8125,465.6132,410.2676
77073.8333333333,451.1351,401.9492
77073.8541666667,443.2262,400.6583
77073.875,441.5825,403.9571
77073.8958333333,438.2219,400.298
77073.9166666667,437.2435,401.8611
77073.9375,434.2296,389.4341
77073.9583333333,429.8746,389.182
77073.9791666667,429.4889,389.656
77074,429.9681,398.5927
77074.0208333333,439.5576,413.744
77074.0416666667,440.2199,414.3546
77074.0625,437.7472,406.157
77074.0833333333,432.6963,400.9326
77074.1041666667,432.3625,404.3621
77074.125,434.1978,406.1074
77074.1458333333,435.6218,408.4457
77074.1666666667,430.0236,406.3239
77074.1875,430.6046,408.2031
77074.2083333333,433.5071,411.9241
77074.2291666667,432.9709,414.4778
77074.25,433.4349,413.5026
77074.2708333333,427.3755,415.6257
77074.2916666667,421.933,407.3072
77074.3125,431.7993,405.4617
77074.3333333333,435.0791,403.3609
77074.3541666667,438.8754,399.8928
77074.375,445.088,398.7123
77074.3958333333,453.5904,400.4918
77074.4166666667,451.974,405.2182
77074.4375,450.6265,405.5278
77074.4583333333,461.5513,404.5237
